Sign,H1 FingerSelection,H1 Aperture,H1 Curve,H1 Bent,H1 Facing,H1 Focus,H1 Width,Dynamic Orientation,Location,Plane,Settings,Path,H2 FingerSelection,H2 Aperture,H2 Curve,H2 Bent,H2 Width,H2 Facing,H2 Focus,Manner,url,labeled_url
учить,1-st,closed,straight,bent,radial,tips,pointed,"",head-high,sagittal,ipsi-contra,arc,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5256--постигать--постигать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5256--постигать--постигать.mp4?raw=true' target='_blank'>учить</a>
концентрироваться,1-st,"",straight,straight,palm,tips,pointed,"",head,"",near-far,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5257--концентрироваться--концентрироваться.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5257--концентрироваться--концентрироваться.mp4?raw=true' target='_blank'>концентрироваться</a>
беспокоиться,1-st,open,curved,straight,palm,radial,pointed,"",trunk,"",low-high,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5265--беспокоиться--беспокоиться.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5265--беспокоиться--беспокоиться.mp4?raw=true' target='_blank'>беспокоиться</a>
судить,1-st,closed,curved,"",ulnar,radial,"","",space,horisontal,low-high,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5277--осуждать--осуждать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5277--осуждать--осуждать.mp4?raw=true' target='_blank'>судить</a>
подтверждать,"","","","",ulnar,ulnar,"","",hand-palm,horisontal,near-far,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5308--подтверждать--подтверждать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5308--подтверждать--подтверждать.mp4?raw=true' target='_blank'>подтверждать</a>
здравствуйте,1-st,open,straight,straight,tips,radial,pointed,"",trunk,"",low-high,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5317--поздравлять--поздравлять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5317--поздравлять--поздравлять.mp4?raw=true' target='_blank'>здравствуйте</a>
соединять,1-st,"",curved,straight,palm,tips,"",supine-prone,hand-classifier,horisontal,far-near,arc,1-st,"",curved,straight,"",back,"",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5328--соединять--соединять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5328--соединять--соединять.mp4?raw=true' target='_blank'>соединять</a>
захватывать,1-st,open-closed,curved,bent,palm,palm,wide-pointed,"",space,horisontal,high-low,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5331--захватывать--захватывать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5331--захватывать--захватывать.mp4?raw=true' target='_blank'>захватывать</a>
освящать,1-st,closed-open,curved-straight,bent-straight,palm,ulnar,pointed-wide,"",space,parallel,contra-ipsi,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5335--освящать--освящать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5335--освящать--освящать.mp4?raw=true' target='_blank'>освящать</a>
сберегать,1-st,open,curved,bent,palm,palm,wide,"",virtual object,horisontal,far-near,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5343--сберегать--сберегать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5343--сберегать--сберегать.mp4?raw=true' target='_blank'>сберегать</a>
устанавливать,thumb,"",straight,straight,palm,palm,wide,"",hand-palm,horisontal,far-near,spiral,"","","","","",back,"",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5359--устанавливать--устанавливать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5359--устанавливать--устанавливать.mp4?raw=true' target='_blank'>устанавливать</a>
сдерживать,"","","","","","","","",trunk,"",high-low,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5362--сдерживать--сдерживать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5362--сдерживать--сдерживать.mp4?raw=true' target='_blank'>сдерживать</a>
строить,1-st,"",straight,straight,palm,back,pointed,"",space,horisontal,low-high,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5365--строить--строить.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5365--строить--строить.mp4?raw=true' target='_blank'>строить</a>
консультировать,1-st,closed,curved,straight,ulnar,tips,"","",space,horisontal,proxi-distal,circle-clock,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5373--консультирование--консультирование.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5373--консультирование--консультирование.mp4?raw=true' target='_blank'>консультировать</a>
потреблять,1-st,closed,curved,straight,"",tips,"",neutral-prone,trunk,"",far-near,arc,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5376--потреблять--потреблять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5376--потреблять--потреблять.mp4?raw=true' target='_blank'>потреблять</a>
сократить,1-st,"",straight,straight,"",palm,"",prone-neutral,space,horisontal,ipsi-contra,arc,"","","","","","","",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5407--сократить--сократить.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5407--сократить--сократить.mp4?raw=true' target='_blank'>сократить</a>
вкладывать,1-st,open-closed,straight,bent,radial,tips,wide-pointed,"",hand-palm,sagittal,proxi-distal,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5415--вкладывать--вкладывать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5415--вкладывать--вкладывать.mp4?raw=true' target='_blank'>вкладывать</a>
контролировать,1-st,"",straight,straight,tips,ulnar,wide,"",space,horisontal,contra-ipsi,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5417--контролировать--контролировать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5417--контролировать--контролировать.mp4?raw=true' target='_blank'>контролировать</a>
собираться,1-st,closed-open,curved-straight,bent-straight,palm,tips,wide,"",space,horisontal,ipsi-contra,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5421--собираться--собираться.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5421--собираться--собираться.mp4?raw=true' target='_blank'>собираться</a>
разговаривать,1-st,"",straight,straight,radial,ulnar,"","",head-low,"",near-far,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5428--разговаривать--разговаривать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5428--разговаривать--разговаривать.mp4?raw=true' target='_blank'>разговаривать</a>
конвертировать,1-st,"",straight,straight,"","",wide,prone-neutral,space,parallel,"","","","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5431--конвертировать--конвертировать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5431--конвертировать--конвертировать.mp4?raw=true' target='_blank'>конвертировать</a>
убеждать,1-st,open-closed,straight,bent,back,tips,pointed,"",space,horisontal,proxi-distal,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5436--убеждать--убеждать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5436--убеждать--убеждать.mp4?raw=true' target='_blank'>убеждать</a>
копировать,1-st,open-closed,straight,bent,tips,"",pointed,"",hand-palm,horisontal,"","","","","","","",back,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5462--копировать--копировать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5462--копировать--копировать.mp4?raw=true' target='_blank'>копировать</a>
исправлять,1-st,closed,straight,bent,palm,tips,pointed,"",hand-narrow,parallel,proxi-distal,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5490--исправлять--исправлять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5490--исправлять--исправлять.mp4?raw=true' target='_blank'>исправлять</a>
кашлять,1-st,"",straight,bent,tips,"",pointed,neutral-supine,trunk,"","","","","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5525--кашлять--кашлять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5525--кашлять--кашлять.mp4?raw=true' target='_blank'>кашлять</a>
считать,2-nd,"",straight,bent,tips,tips,"","",hand-palm,horisontal,far-near,iconic,"","","","","",back,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5532--считать--2.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5532--считать--2.mp4?raw=true' target='_blank'>считать</a>
подделывать,1-st,open-closed,straight,bent,radial,tips,pointed,"",head,"",ipsi-contra,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5537--подделка--подделка.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5537--подделка--подделка.mp4?raw=true' target='_blank'>подделывать</a>
закрывать,1-st,"",straight,straight,palm,radial,pointed,supine-prone,virtual object,parallel,ipsi-contra,iconic,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5564--закрывать--закрывать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5564--закрывать--закрывать.mp4?raw=true' target='_blank'>закрывать</a>
ползать,1-st,"",straight,straight,palm,tips,pointed,"",space,horisontal,proxi-distal,arc,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5596--ползать--ползать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5596--ползать--ползать.mp4?raw=true' target='_blank'>ползать</a>
обрезать,1-st,"",straight,straight,ulnar,tips,wide-pointed,"",virtual object,horisontal,ipsi-contra,iconic,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5655--обрезать--обрезать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5655--обрезать--обрезать.mp4?raw=true' target='_blank'>обрезать</a>
короновать,1-st,open,straight,straight,ulnar,ulnar,wide,"",head-high,"",high-low,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5681--короновать--короновать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5681--короновать--короновать.mp4?raw=true' target='_blank'>короновать</a>
мять,1-st,open-closed,straight-curved,straight-bent,palm,palm,wide-pointed,"",virtual object,parallel,ipsi-contra,iconic,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5697--мять--мять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5697--мять--мять.mp4?raw=true' target='_blank'>мять</a>
плакать,1-st,"",straight,straight,palm,root,"",neutral-supine,head-mid,"",high-low,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5700--плакать--плакать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5700--плакать--плакать.mp4?raw=true' target='_blank'>плакать</a>
разрезать,1-st,"",straight,straight,tips,ulnar,pointed,"",hand-back,horisontal,distal-proxi,sraight,"","","","","",palm,"",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5767--разрезать--разрезать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5767--разрезать--разрезать.mp4?raw=true' target='_blank'>разрезать</a>
танцевать,1-st,"",straight,straight,root,"",wide,supine-prone,space,horisontal,"","","","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5808--танцевать--танцевать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5808--танцевать--танцевать.mp4?raw=true' target='_blank'>танцевать</a>
отважиться,"","","","",root,palm,"","",space,horisontal,proxi-distal,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5817--отважиться--отважиться.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5817--отважиться--отважиться.mp4?raw=true' target='_blank'>отважиться</a>
объявлять,1-st,"",straight-curved,straight,tips,back,"","",head-high,"",contra-ipsi,arc,"","","","","","","",symmetrical,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5909--заявлять, объявлять--заявлять, объявлять.mp4?raw=true","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5909--заявлять, объявлять--заявлять, объявлять.mp4?raw=true' target='_blank'>объявлять</a>"
приказать,1-st,closed-open,curved-straight,bent-straight,root,palm,pointed,"",hand-back,horisontal,proxi-distal,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5918--приказать--приказать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5918--приказать--приказать.mp4?raw=true' target='_blank'>приказать</a>
побеждать,"","","","",root,"","",supine-prone,space,horisontal,"","","","","","","","","",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5935--побеждать--побеждать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5935--побеждать--побеждать.mp4?raw=true' target='_blank'>побеждать</a>
защищать,1-st,"",curved,bent,root,palm,pointed,"",space,horisontal,proxi-distal,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5939--защищать--защищать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5939--защищать--защищать.mp4?raw=true' target='_blank'>защищать</a>
грязь,1-st,"",straight,straight,palm,palm,wide,"",hand-palm,horisontal,far-near,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5946--осквернять--осквернять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5946--осквернять--осквернять.mp4?raw=true' target='_blank'>грязь</a>
уменьшать,1-st,"",straight,bent,ulnar,palm,pointed,"",virtual object,horisontal,ipsi-contra,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5953--уменьшать--уменьшать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5953--уменьшать--уменьшать.mp4?raw=true' target='_blank'>уменьшать</a>
отказываться,1-st,"",straight,bent-straight,tips,back,pointed,"",hand-palm,horisontal,proxi-distal,sraight,"","","","","",back,"",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5956--не повиноваться--не повиноваться.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//5956--не повиноваться--не повиноваться.mp4?raw=true' target='_blank'>отказываться</a>
задерживать,"","","","",ulnar,root,"","",space,horisontal,distal-proxi,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5968--задерживать--задерживать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5968--задерживать--задерживать.mp4?raw=true' target='_blank'>задерживать</a>
удалять,1-st,"",straight,straight,ulnar,palm,pointed,"",hand-narrow,horisontal,distal-proxi,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5972--удалять--удалять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5972--удалять--удалять.mp4?raw=true' target='_blank'>удалять</a>
доставлять,thumb,,curved,straight,palm,palm,"","",virtual object,horisontal,ipsi-contra,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5981--доставлять--доставлять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/5981--доставлять--доставлять.mp4?raw=true' target='_blank'>доставлять</a>
отвергать,1-st,"",straight,bent-straight,tips,back,pointed,"",hand-palm,horisontal,proxi-distal,sraight,"","","","","",back,"",tense,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6013--отвергать, отказывать--отвергать, отказывать.mp4?raw=true","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6013--отвергать, отказывать--отвергать, отказывать.mp4?raw=true' target='_blank'>отвергать</a>"
удалять волосы,1-st,closed,curved,"",tips,back,"","",head-high,"",near-far,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6024--удалять волосы--удалять волосы.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6024--удалять волосы--удалять волосы.mp4?raw=true' target='_blank'>удалять волосы</a>
лишать,1-st,"",straight,straight,ulnar,palm,pointed,"",hand-narrow,sagittal,distal-proxi,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6036--лишать--лишать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6036--лишать--лишать.mp4?raw=true' target='_blank'>лишать</a>
спускаться,1-st,"",curved,straight-bent,tips,tips,wide,"",space,horisontal,high-low,sraight,"","","","","","","",repeated,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6045--спускаться, снисходить--спускаться, снисходить.mp4?raw=true","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6045--спускаться, снисходить--спускаться, снисходить.mp4?raw=true' target='_blank'>спускаться</a>"
отчаяться,1-st,"",straight,straight,palm,palm,pointed,"",hand-palm,"",far-near,sraight,"","","","","",ulnar,"",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6070--отчаяться--отчаяться.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6070--отчаяться--отчаяться.mp4?raw=true' target='_blank'>отчаяться</a>
видеть,1-st,"",straight,straight,tips,tips,wide,"",head-high,horisontal,far-near,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6072--презирать--презирать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6072--презирать--презирать.mp4?raw=true' target='_blank'>видеть</a>
разрушать,1-st,"",straight,bent-straight,ulnar,tips,pointed,"",space,horisontal,ipsi-contra,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6080--разрушать--1.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6080--разрушать--1.mp4?raw=true' target='_blank'>разрушать</a>
разъединять,1-st,"",straight,straight,ulnar,palm,pointed,"",hand-back,horisontal,distal-proxi,arc,"","","","","",palm,"",biderectional,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6083--разъединять отделять--разъединять отделять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6083--разъединять отделять--разъединять отделять.mp4?raw=true' target='_blank'>разъединять</a>
ухудшаться,1-st,"",straight,straight,radial,palm,pointed,"",hand-palm,sagittal,high-low,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6094--ухудшаться--ухудшаться.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6094--ухудшаться--ухудшаться.mp4?raw=true' target='_blank'>ухудшаться</a>
посвящать,1-st,"",straight,straight,ulnar,tips,pointed,"",space,horisontal,proxi-distal,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6120--посвящать--посвящать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6120--посвящать--посвящать.mp4?raw=true' target='_blank'>посвящать</a>
диктовать,1-st,"",straight,straight,palm,back,pointed,"",head-low,parallel,near-far,vawe,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6147--диктовать--диктовать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6147--диктовать--диктовать.mp4?raw=true' target='_blank'>диктовать</a>
выполнить,1-st,"",straight,straight,palm,tips,pointed,"",hand-narrow,sagittal,proxi-distal,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6151--делал--делал.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6151--делал--делал.mp4?raw=true' target='_blank'>выполнить</a>
копать,1-st,"",straight,bent,"",ulnar,pointed,supine-prone,space,horisontal,ipsi-contra,sraight,"","","","","","","",repeated,"https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6173--копать, рыть--копать, рыть.mp4?raw=true","<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6173--копать, рыть--копать, рыть.mp4?raw=true' target='_blank'>копать</a>"
уменьшать,1-st,"",straight,bent,palm,palm,pointed,"",virtual object,horisontal,ipsi-contra,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6197--уменьшать--уменьшать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6197--уменьшать--уменьшать.mp4?raw=true' target='_blank'>уменьшать</a>
окунать,1-st,closed,curved,straight,tips,tips,"","",space,horisontal,high-low,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6208--окунать--окунать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6208--окунать--окунать.mp4?raw=true' target='_blank'>окунать</a>
исчезать,1-st,closed,straight-curved,bent,palm,root,pointed,"",head,"",contra-ipsi,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6236--исчезать--исчезать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6236--исчезать--исчезать.mp4?raw=true' target='_blank'>исчезать</a>
отпускать,1-st,closed,curved,straight,ulnar,tips,"","",space,horisontal,proxi-distal,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6243--выписка из больницы--выписка из больницы.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6243--выписка из больницы--выписка из больницы.mp4?raw=true' target='_blank'>отпускать</a>
рассоединять,thumb,"",curved,straight,tips,root,"","",hand-palm,sagittal,near-far,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6250--рассоединять--рассоединять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6250--рассоединять--рассоединять.mp4?raw=true' target='_blank'>рассоединять</a>
видеть,1-st,open,straight,straight,tips,tips,"","",head-high,parallel,far-near,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6256--обнаруживать--обнаруживать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6256--обнаруживать--обнаруживать.mp4?raw=true' target='_blank'>видеть</a>
не.нравиться,1-st,closed,curved,straight,tips,tips,"",neutral-prone,head-low,"",near-far,sraight,"","","","","","","",tense,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6290--не нравиться--.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6290--не нравиться--.mp4?raw=true' target='_blank'>не.нравиться</a>
разбирать,1-st,"",straight-curved,straight,palm,root,wide,"",space,horisontal,contra-ipsi,sraight,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6291--разобрать--разобрать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6291--разобрать--разобрать.mp4?raw=true' target='_blank'>разбирать</a>
распространять,1-st,closed,straight,bent,back,radial,pointed,"",space,horisontal,proxi-distal,arc,"","","","","","","",laceration,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6324--распространять--2.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6324--распространять--2.mp4?raw=true' target='_blank'>распространять</a>
нырять,1-st,"",straight,bent-straight,root,root,wide,"",space,horisontal,high-low,iconic,"","","","","","","",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6335--нырять--нырять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6335--нырять--нырять.mp4?raw=true' target='_blank'>нырять</a>
разделять,1-st,"",straight,straight,ulnar,tips,pointed,"",space,horisontal,proxi-distal,arc,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6337--разделять--разделять.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6337--разделять--разделять.mp4?raw=true' target='_blank'>разделять</a>
разделять,1-st,"",straight,bent-straight,ulnar,ulnar,pointed,"",hand-palm,horisontal,far-near,sraight,"","","","","",back,"",repeated,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6342--разделять--2.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data//6342--разделять--2.mp4?raw=true' target='_blank'>разделять</a>
заниматься.гимнастикой,1-st,"",straight,straight,tips,tips,pointed,"",shoulder,"",far-near,sraight,"","","","","","","",symmetrical,https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6359--заниматься гимнастикой--заниматься гимнастикой.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6359--заниматься гимнастикой--заниматься гимнастикой.mp4?raw=true' target='_blank'>заниматься.гимнастикой</a>
доминировать,1-st,"","","",ulnar,back,"","",hand-palm,horisontal,proxi-distal,sraight,"","","","","","","","",https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6401--доминировать--доминировать.mp4?raw=true,<a href='https://github.com/ToszaPlaskovickaja/Term_paper/blob/master/data/6401--доминировать--доминировать.mp4?raw=true' target='_blank'>доминировать</a>
